	picture begin	picture end	charctor1	charctor2	charctor3	charctor4	stage
1	1	50	プリン	ガオガエン			
2	51	100	キングクルール	ガオガエン			
3	101	150					
4	151	200	ドンキー	ガオガエン			
5	201	250	クッパ	ガオガエン			
6	251	300					
7	301	350					
8	351	400					
9	401	450					
10	451	500					
11	501	550					
12	551	600					
13	601	650					
14	651	700					
15	701	750					
16	751	800					
17	801	850					
18	851	900					
19	901	950					
20	951	1000					
21	1001	1050					
22	1051	1100					
23	1101	1150					
24	1151	1200					
25	1201	1250					
26	1251	1300					
27	1301	1350					
28	1351	1400					
29	1401	1450					
30	1451	1500					
31	1501	1550					
32	1551	1600					
33	1601	1650					
34	1651	1700					
	-49	0					
